Inflation,Unemployment,Trade,Debt,Credit_to_Private_Sector,NPLs,GDP_Growth,GDP,Country,Country Code,Region,Period,Cluster,Cluster_Margin,raw_Inflation,raw_Unemployment,raw_Trade,raw_Debt,raw_Credit_to_Private_Sector,raw_NPLs,raw_GDP_Growth,raw_GDP
0.7113179405730222,-0.9718437184907467,-0.2338018978591712,-0.08890050178728166,-0.9963461009311882,-0.18603008707705643,1.8754136818603784,-0.6000719726272674,Afghanistan,AFG,Unknown,2000–2009,0,1.2513662015892268,8.768167600226267,2.494,71.23634945201255,44.680100611376346,7.913824376824882,3.662236973313095,9.460374747934816,9.767557428255042
1.1789680144309345,-0.21724131560233734,-0.46891311273289066,-0.08890050178728166,0.8551413395115611,-0.18603008707705643,0.11757428889849487,0.8802270020192777,Africa Eastern and Southern,AFE,Unknown,2000–2009,0,0.4895408284663407,10.688195610503925,6.847417784313433,59.46250667279439,44.680100611376346,79.57196073514274,3.662236973313095,4.3704581417987,11.650788153301225
0.056342316618449254,-0.21724131560233734,-0.2338018978591712,-0.08890050178728166,-0.9298667375022843,-0.18603008707705643,0.7453428452707187,0.7274717234461754,Africa Western and Central,AFW,Unknown,2000–2009,0,1.4998356249451428,6.07903823974645,6.847417784313433,71.23634945201255,44.680100611376346,10.486775824156009,3.662236973313095,6.188195082205499,11.456453468924007
-0.7438005820145083,0.8540911138861141,-0.27544545739662263,-0.08890050178728166,-0.23678985049022155,-0.18603008707705643,0.6389821510091718,-0.5283052948843883,Albania,ALB,Unknown,2000–2009,1,0.24908665509875516,2.793896499200475,13.0281,69.15093330959539,44.680100611376346,37.3109373018231,3.662236973313095,5.880222086418987,9.85885872270615
-0.4143459158370473,1.8400068288571463,-0.40083071976156825,-0.08890050178728166,-0.9231015952130003,5.398967323586606,-0.06907682652844682,0.3559370493127962,Algeria,DZA,Unknown,2000–2009,0,0.1351990025462273,4.146536480541725,18.716,62.871920346692676,44.680100611376346,10.748607191768752,21.1415508110567,3.829999999963202,10.983788469669335
-0.17200952292757174,-0.10152553341900641,2.5947140966965123,-0.08890050178728166,-0.28950477781798095,-0.18603008707705643,-1.7915867613100942,-1.4177035156477364,American Samoa,ASM,Unknown,2000–2009,1,1.3273326350872452,5.141495507186114,7.515000000000001,212.88209202660474,44.680100611376346,35.270710958365925,3.662236973313095,-1.1576182980354572,8.727369689186503
-0.17200952292757174,-0.21724131560233734,-0.2338018978591712,-0.08890050178728166,-0.28950477781798095,-0.18603008707705643,-0.22028794869043983,-0.8697012244546114,Andorra,AND,Unknown,2000–2009,1,0.5127515116184609,5.141495507186114,6.847417784313433,71.23634945201255,44.680100611376346,35.270710958365925,3.662236973313095,3.3921602264285022,9.424536119648305
6.108192872294719,0.9727220172645445,0.5049970492141408,-0.08890050178728166,-0.28950477781798095,-0.18603008707705643,1.6296079011298885,-0.054643383415568514,Angola,AGO,Unknown,2000–2009,0,0.6282584603603221,30.926083563732245,13.7125,108.23374514394133,44.680100611376346,35.270710958365925,3.662236973313095,8.748631155070925,10.461449604845466
-0.9214097082744684,0.05534320935930952,-0.2338018978591712,-0.08890050178728166,0.286603658304164,-0.18603008707705643,-0.31957992287981885,-1.1625348871070609,Antigua and Barbuda,ATG,Unknown,2000–2009,1,0.9781580763091309,2.0646878101333663,8.42,71.23634945201255,44.680100611376346,57.56784134718772,3.662236973313095,3.1046550821553374,9.051994247850699
-0.17200952292757174,0.32172783902700686,0.020099442256090512,-0.08890050178728166,-0.3473212759913937,-0.18603008707705643,0.18658694033159795,1.2014715547243922,Arab World,ARB,Unknown,2000–2009,0,0.8490136960319437,5.141495507186114,9.956814062377953,83.95115959646066,44.680100611376346,33.03303846900779,3.662236973313095,4.570287911212937,12.059474251359518
-0.17200952292757174,0.8029051031209908,-0.9295378100403875,-0.08890050178728166,-0.8367729884186891,-0.2724038376031707,-0.5001012391306532,0.6358846022143897,Argentina,ARG,Unknown,2000–2009,0,0.17168723269119157,5.141495507186114,12.732800000000001,36.39545404735353,44.680100611376346,14.089784097517054,3.391913859123948,2.581946096894478,11.339936681655805
-0.17200952292757174,2.4364113887626613,-0.3200635594957219,-0.08890050178728166,-0.5586256826517008,-0.33554747250180644,1.6059056369858158,-0.6965506683188694,Armenia,ARM,Unknown,2000–2009,1,0.1546762045346055,5.141495507186114,22.156750000000002,66.91655874135517,44.680100611376346,24.8549219693588,3.194293819203822,8.680000000055868,9.644817598564767
-0.5499080577386899,-0.27572783893525793,1.1126809328528298,-0.08890050178728166,0.13035398758109426,-0.18603008707705643,-0.9339882654820666,-0.9234822268073258,Aruba,ABW,Unknown,2000–2009,1,1.2040560553090998,3.589959834595399,6.510000000000001,138.665192275332,44.680100611376346,51.52050882629385,3.662236973313095,1.3256033448459326,9.356116133017837
-0.6541889877210063,-0.4559448907215732,-0.8273457346715398,-1.4842036123407931,1.5266805261273848,-1.0321307502430526,-0.27273746122603343,0.9892506542268292,Australia,AUS,Unknown,2000–2009,2,1.1577898779419937,3.161814266581044,5.4703,41.513004179196756,23.702471030118012,105.56254838555815,1.0142036901528018,3.240289898622934,11.789487628954806
-0.9407339913405345,-0.5413820214568571,0.19070980151362144,-0.08890050178728166,1.1947786194527685,-0.6264537498773537,-0.8071167056540882,0.7340467134454213,Austria,AUT,Unknown,2000–2009,2,1.6801385144402825,1.9853482208988436,4.9774,92.49494406664431,44.680100611376346,92.71694567361754,2.283847180516365,1.692966632868925,11.464818146192265
