Period,Silhouette,Calinski_Harabasz,Davies_Bouldin,Inertia
2000–2009,0.16541666432163998,39.67461329203198,1.9294056401584638,1581.7302022822273
2010–2014,0.18330675146097272,44.30968288855578,1.812164068068966,1546.6725910976165
2015–2019,0.20424551159838591,42.8229576483102,1.417862842674478,1560.0944769390992
