k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,1793.9430560224655,0.17509466043556138,43.7777582574368,2.175070582601295
3,1560.969552012428,0.18188701392931148,44.38679980981392,1.8184132061235865
4,1393.7232367002307,0.19409434111681112,43.33414271456995,1.5385960773916756
5,1246.1943627860976,0.19563254208589015,43.81340007743642,1.4546709855821887
6,1116.305702371234,0.1930675625248453,44.93423972666558,1.3921670181427113
