Country,Country Code,Year,NPLs,Inflation,Credit_to_Private_Sector,Debt,Trade,GDP,GDP_Growth,Unemployment,x,y,_algo
Iceland,ISL,1975,,0.4677679166,-0.4089387111,,-0.0494950332,-0.2347439697,-0.4348499127,,-3.1034965515,18.1655616760,UMAP
India,IND,1975,,-0.0767095185,-0.7347896203,,-1.2625948246,-0.2186918005,0.9458302110,,-3.4165039062,17.8337440491,UMAP
Indonesia,IDN,1975,,0.0907958463,,,-0.6284880496,-0.2299387550,0.2683600821,,-1.6765176058,15.7233724594,UMAP
"Iran, Islamic Rep.",IRN,1975,,,-0.5910000161,,-0.0068345397,-0.2264142836,-0.5927252887,,-3.2205839157,16.9153957367,UMAP
Iraq,IRQ,1975,,,-0.9208054229,,0.3628127111,-0.2327509640,1.4882388022,,-2.8109838963,18.3883686066,UMAP
Ireland,IRL,1975,,,,,0.1295418616,-0.2334082700,0.3786592880,,-2.7448356152,16.6021442413,UMAP
Isle of Man,IMN,1975,,,,,,,,-0.8432763255,-3.7258162498,16.5610027313,UMAP
Israel,ISR,1975,,0.3422430091,-0.3066854503,,-0.1947250967,-0.2323072292,-0.0132524338,,-2.5731344223,17.9483413696,UMAP
Italy,ITA,1975,,0.0631407200,,,-0.7702899187,-0.1972352943,-0.8791217734,-0.3704032794,-1.4011893272,16.8939781189,UMAP
Jamaica,JAM,1975,,,-0.3986301890,,0.0868314835,-0.2345035901,-0.5813398750,2.0339475395,-3.3933019638,19.4365196228,UMAP
Japan,JPN,1975,,-0.0020178899,1.8671137403,,-1.0307817725,-0.1468561978,-0.0378084727,-1.0518967870,-3.6533613205,17.5525665283,UMAP
Jordan,JOR,1975,,,-0.4563534571,,,-0.2347512132,,,-1.8394094706,16.3325843811,UMAP
Kenya,KEN,1975,,,-0.6771483931,,-0.2386258491,-0.2344376228,-0.3965248693,,-2.9353508949,18.2709083557,UMAP
Kiribati,KIR,1975,,,,,0.8169022214,-0.2349692607,0.3279659454,,-2.7734801769,16.8922462463,UMAP
"Korea, Rep.",KOR,1975,,0.1667450064,-0.2839642179,,-0.4423462669,-0.2313741120,0.7331405086,-0.6555179102,-3.6066403389,17.4322052002,UMAP
Kuwait,KWT,1975,,,-0.7485263223,,0.5906415165,-0.2329883897,-2.5326480839,,-3.3561971188,18.0036163330,UMAP
Late-demographic dividend,LTE,1975,,,,,-1.1270248576,-0.1120437741,0.1661711187,,-0.8057812452,15.0265560150,UMAP
Latin America & Caribbean,LCN,1975,,,,,-0.9633086003,-0.1691690378,0.0469578617,,-1.1442165375,16.7803688049,UMAP
Latin America & Caribbean (excluding high income),LAC,1975,,,,,-1.0755252942,-0.1786622892,0.1506472917,,-1.0326857567,15.4837169647,UMAP
Latin America & the Caribbean (IDA & IBRD countries),TLA,1975,,,-0.2257080098,,-0.9952460333,-0.1731033527,0.0559589795,,-1.2433484793,16.8274154663,UMAP
Least developed countries: UN classification,LDC,1975,,,-0.9396301538,,,-0.2194735655,-0.4584700550,,-0.4448152184,18.6378211975,UMAP
Lesotho,LSO,1975,,,-0.9103499682,,0.8260389595,-0.2349518947,-2.7338280303,,-3.2619006634,17.5513172150,UMAP
Liberia,LBR,1975,,,-1.0864959637,,,-0.2348811170,-1.1029247618,,-1.4013977051,18.6043109894,UMAP
Libya,LBY,1975,,,-0.7625849357,,,-0.2325438527,0.1142740615,,-1.6031026840,18.7015514374,UMAP
Liechtenstein,LIE,1975,,,,,,-0.2349358817,-0.2687418888,,-1.6443272829,18.2362995148,UMAP
Low & middle income,LMY,1975,,,,,-1.0851583440,-0.0492868584,0.1528499029,,-0.6802178621,15.0234031677,UMAP
Low income,LIC,1975,,,-0.8979631629,,,-0.2268794387,,,-1.3871831894,15.6623125076,UMAP
Lower middle income,LMC,1975,,,-0.7565831248,,-1.0023693880,-0.1901596164,0.0293403200,,-3.1461555958,17.9551467896,UMAP
Luxembourg,LUX,1975,,-0.0146719330,,,1.9601819773,-0.2344601153,-1.6066960921,,-2.4863924980,16.8464164734,UMAP
Madagascar,MDG,1975,,,-0.7647320697,,-0.7814028119,-0.2345990749,-0.3353977535,,-3.8104140759,17.0775699615,UMAP
Malawi,MWI,1975,,,,,,,0.4485035515,,-2.9529104233,19.3481597900,UMAP
Malaysia,MYS,1975,,,-0.2691775296,,0.2790607210,-0.2334388651,-0.4096980583,,-3.1732478142,17.5596771240,UMAP
Maldives,MDV,1975,,,,,,-0.2349725692,-1.8368608756,,-1.1983878613,17.9944267273,UMAP
Mali,MLI,1975,,,-0.4043502084,,-0.7385889409,-0.2348392512,1.3476964298,,-2.9916105270,17.0701370239,UMAP
Malta,MLT,1975,,,,,1.6441606160,-0.2348981390,2.6360376567,,-2.8293664455,16.2761421204,UMAP
Marshall Islands,MHL,1975,,,,,,-0.2349738673,-0.5299765115,,-1.1124165058,17.5917530060,UMAP
Mauritania,MRT,1975,,,-0.6369897398,,-0.0841672047,-0.2348603085,-1.3733835968,,-3.3838465214,16.9303417206,UMAP
Mauritius,MUS,1975,,,-0.6209464374,,,-0.2348652807,-0.3926465306,,-2.0551364422,18.6063270569,UMAP
Mexico,MEX,1975,,0.0380975775,,,-1.1795505737,-0.2204238804,0.3929210220,,-1.3383797407,15.9440460205,UMAP
"Micronesia, Fed. Sts.",FSM,1975,,,,,,-0.2349690008,-0.5276989269,,-1.7010550499,17.7722892761,UMAP
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1975,,,-0.6632021745,,0.0179875816,-0.1948656460,-0.5206087716,,-3.0167932510,16.9027709961,UMAP
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1975,,,-0.5791342355,,-0.2212862487,-0.2109380183,-0.0335098191,,-3.2169456482,18.5023784637,UMAP
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1975,,,-0.5791342355,,-0.2212862487,-0.2107476208,-0.0335098191,,-3.2005019188,18.6399211884,UMAP
Middle income,MIC,1975,,,,,-1.0875555122,-0.0567169832,0.1592654617,,-0.5555118918,14.8631629944,UMAP
Monaco,MCO,1975,,,,,,-0.2348588861,-0.6976790155,,-1.4779517651,18.7114810944,UMAP
Morocco,MAR,1975,,,,,-0.4061957122,-0.2334907833,0.6874014481,,-2.8792619705,16.6745338440,UMAP
Myanmar,MMR,1975,,,-1.0126934949,,,-0.2348011500,0.1344783925,,-1.6666163206,19.2174625397,UMAP
Nauru,NRU,1975,,,,,,-0.2349699951,-0.0691747628,,-2.7324664593,18.7136325836,UMAP
Nepal,NPL,1975,,-0.0537688976,-0.9875390073,,-1.0663486641,-0.2347160360,-0.3032861067,,-3.5960254669,17.9853363037,UMAP
Netherlands,NLD,1975,,-0.0209165309,,,0.2766248809,-0.2183737519,-0.5394310391,-0.3391102102,-0.9840867519,16.4998626709,UMAP
New Caledonia,NCL,1975,,,,,,-0.2348415761,0.5155015733,,-0.9687961340,17.8773822784,UMAP
New Zealand,NZL,1975,,0.0348572580,,,-0.4590056847,-0.2328496141,-0.8209185994,,-1.9748239517,16.8876266479,UMAP
Nicaragua,NIC,1975,,,,,-0.2258911086,-0.2347150750,-0.5646417791,,-1.9500597715,16.2266387939,UMAP
Niger,NER,1975,,,-0.7884181556,,-0.5159619623,-0.2348032033,-0.9932666521,,-2.9843716621,17.6410388947,UMAP
Nigeria,NGA,1975,,,-0.9298487472,,,-0.2303827661,-1.3885437662,,-2.0312392712,18.9521770477,UMAP
North America,NAC,1975,,-0.0247842735,0.9732941404,,-1.1482238752,0.0725607510,-0.5484834772,,-0.3636486828,17.4325428009,UMAP
Norway,NOR,1975,,-0.0025427640,,,-0.0038225717,-0.2295395550,0.2642689260,-0.9840951370,-1.7828621864,15.8984518051,UMAP
OECD members,OED,1975,,0.0282641540,,,-0.8816577652,0.5421336912,-0.5216146794,,0.8768345714,16.6566600800,UMAP
Oman,OMN,1975,,,-0.8084274813,,0.8220250631,-0.2346298920,3.4272922495,,-3.0891206264,17.1327457428,UMAP
Other small states,OSS,1975,,,,,,-0.2337407183,,,-3.8779122829,18.1808834076,UMAP
Pacific island small states,PSS,1975,,,,,,-0.2347886113,-0.4719702372,,-0.5562140346,17.8377017975,UMAP
Pakistan,PAK,1975,,,-0.6288778496,,-0.8672222067,-0.2331193984,0.1440100407,-1.0866668639,-3.6328737736,17.6060028076,UMAP
Palau,PLW,1975,,,,,,-0.2349735647,-0.5356581085,,-1.1229299307,17.6436080933,UMAP
Panama,PAN,1975,,,,,1.4435268445,-0.2345738962,-0.2571026721,-0.2678315525,-2.2117416859,16.1170787811,UMAP
Papua New Guinea,PNG,1975,,,,,0.1904655532,-0.2347522832,-0.6826194740,,-2.0294179916,16.5439739227,UMAP
Paraguay,PRY,1975,,,-0.6593267875,,-0.8932945947,-0.2347266808,0.5728106764,,-2.5951030254,16.8600025177,UMAP
Peru,PER,1975,,,-0.8696634847,,-0.8763827051,-0.2321766853,0.1585328491,-0.5268686256,-3.8763523102,17.7877635956,UMAP
Philippines,PHL,1975,,,-0.5636768517,,,-0.2321859331,0.3452871411,-0.7163655448,-1.7068783045,17.2610721588,UMAP
Portugal,PRT,1975,,0.0421818361,,,-0.6872839537,-0.2317770725,-1.2456470815,-0.5998857871,-3.0665245056,16.1999168396,UMAP
Post-demographic dividend,PST,1975,,-0.0022803270,,,-0.8290541306,0.5204251928,-0.5500920846,,0.8107682467,16.7075920105,UMAP
Pre-demographic dividend,PRE,1975,,,-0.8541147927,,,-0.2173412407,-0.5977030046,,-0.1387903243,16.4538898468,UMAP
Puerto Rico (US),PRI,1975,,,,,0.4369083239,-0.2336208573,-0.6460367727,,-2.6066329479,16.6149215698,UMAP
Qatar,QAT,1975,,,-0.8197840861,,,-0.2345610850,0.4147825349,,-1.6958649158,19.5391998291,UMAP
Rwanda,RWA,1975,,,-1.0180485806,,-0.9757696062,-0.2348820573,-0.8829636505,,-2.8855419159,18.0285224915,UMAP
Samoa,WSM,1975,,,,,,-0.2349611671,-1.1574388954,,-1.6545034647,17.9008293152,UMAP
Sao Tome and Principe,STP,1975,,,,,,-0.2349666885,0.3334337360,,-1.3780423403,17.8167114258,UMAP
Saudi Arabia,SAU,1975,,,-0.9953962206,,0.3660456158,-0.2272416426,-1.4308249225,,-3.4891953468,18.2260875702,UMAP
Senegal,SEN,1975,,,-0.6700239192,,-0.4738580249,-0.2345085602,0.6837387480,,-3.8251998425,17.1139945984,UMAP
Seychelles,SYC,1975,,,-0.6365976464,,,-0.2349687223,-0.0238731452,,-2.7270517349,17.7940826416,UMAP
Sierra Leone,SLE,1975,,,-0.9326149568,,-0.3321961474,-0.2348642816,-0.2687444383,,-2.3077516556,18.1757087708,UMAP
Singapore,SGP,1975,,,0.2519017181,,4.0750595983,-0.2340449750,0.1078559361,-0.5911932679,-3.8800435066,17.9528636932,UMAP
Small states,SST,1975,,,,,,-0.2327119540,-0.5516047607,,-1.2343453169,17.3112583160,UMAP
Solomon Islands,SLB,1975,,,,,,-0.2349642875,,,-1.9453650713,18.0475482941,UMAP
"Somalia, Fed. Rep.",SOM,1975,,,-0.8338692739,,-0.7775520625,-0.2348514383,1.8461691084,,-3.3080799580,16.6187839508,UMAP
South Africa,ZAF,1975,,0.0191387691,0.2683198736,,-0.5243464837,-0.2278810213,-0.2644877773,,-3.4747369289,17.3216400146,UMAP
South Asia,SAS,1975,,,-0.7890305281,,-1.2301652226,-0.2145696030,0.6482700446,,-4.1645073891,16.2210769653,UMAP
South Asia (IDA & IBRD),TSA,1975,,,-0.7890305281,,-1.2301652226,-0.2145696030,0.6482700446,,-4.2638864517,16.1801319122,UMAP
Spain,ESP,1975,,0.0631754685,,,-0.9315265141,-0.2160092614,-0.4517276480,-0.5477306717,-0.3167314827,18.7330398560,UMAP
Sri Lanka,LKA,1975,,,-0.7895511268,,-0.2757454565,-0.2343496526,0.4549021013,,-3.5626869202,18.5996932983,UMAP
St. Kitts and Nevis,KNA,1975,,,,,,-0.2349711101,,,-2.0333399773,17.1200218201,UMAP
St. Vincent and the Grenadines,VCT,1975,,,-0.2160424532,,,-0.2349711311,-1.7751195705,,-1.6691734791,18.3731765747,UMAP
Sub-Saharan Africa,SSF,1975,,,-0.4734994099,,,-0.2098002405,-0.5791761436,,0.1529623717,17.1861019135,UMAP
Sub-Saharan Africa (IDA & IBRD countries),TSS,1975,,,-0.4734994099,,,-0.2098002405,-0.5791761436,,0.2525219619,17.1625614166,UMAP
Sub-Saharan Africa (excluding high income),SSA,1975,,,-0.4547804762,,,-0.2105727741,-0.5845141768,,0.2689653039,17.1020832062,UMAP
Sudan,SDN,1975,,,-0.8273780528,,-0.8198009217,-0.2341790229,2.0114967467,,-4.0413584709,18.2916603088,UMAP
Suriname,SUR,1975,,,-0.6873452753,,,-0.2348996469,-0.0851490869,,-1.2439899445,18.5536918640,UMAP
Sweden,SWE,1975,,-0.0263796913,-0.2475371351,,-0.4930324230,-0.2212894079,-0.1252745954,-1.1005748947,-4.2461242676,18.5922870636,UMAP
Switzerland,CHE,1975,,-0.0648723255,0.7011268567,,-0.0474459376,-0.2241503624,-1.7222653200,-1.3300574024,-4.0737824440,17.8766059875,UMAP
Syrian Arab Republic,SYR,1975,,,-0.9930847078,,-0.4149851067,-0.2338476353,2.1151009844,-0.5459921679,-3.4722151756,16.4142341614,UMAP
Tanzania,TZA,1975,,,-1.0569580001,,,-0.2340290589,0.1079674738,,-1.2772864103,19.2262420654,UMAP
Thailand,THA,1975,,,,,-0.6911230662,-0.2325154322,0.2672404979,-1.3039798447,-2.9182171822,15.8990535736,UMAP
Togo,TGO,1975,,,-0.7767229527,,-0.0583074434,-0.2348324592,-0.1435112494,,-4.0516428947,17.5232028961,UMAP
Tonga,TON,1975,,,-1.0289169285,,0.7021433071,-0.2349712519,,,-1.0744788647,18.0256710052,UMAP
Trinidad and Tobago,TTO,1975,,,-0.6910066712,,,-0.2345726781,-0.2997962077,1.2238047473,-3.0382406712,19.7341175079,UMAP
Tunisia,TUN,1975,,,-0.1627480254,,-0.2460090189,-0.2342607373,0.6221124964,,-4.2294116020,17.1621665955,UMAP
Turkiye,TUR,1975,,0.1165343111,,,-1.1965000916,-0.2273624224,0.6250370730,,-2.3350291252,15.6727113724,UMAP
Tuvalu,TUV,1975,,,,,,-0.2349759637,-0.7843575693,,-4.0284266472,18.2767181396,UMAP
Uganda,UGA,1975,,,,,-1.1195131999,-0.2345864229,,,-1.6439098120,19.4949607849,UMAP
United Arab Emirates,ARE,1975,,,,,,-0.2325422295,0.4713278956,-1.0414657640,-2.5380332470,19.3495826721,UMAP
United Kingdom,GBR,1975,,0.1537367369,-0.4133539096,,-0.4667737092,-0.1949968182,-0.7790239149,-0.6868109794,-4.2238903046,17.8058357239,UMAP
United States,USA,1975,,-0.0343287955,1.0799202022,,-1.1991906899,0.0436595313,-0.5731450081,0.0955157513,-0.4168907404,17.4018402100,UMAP
Upper middle income,UMC,1975,,,,,-1.1027030132,-0.1015632312,0.1959469232,,-0.6954455376,14.9796056747,UMAP
Uruguay,URY,1975,,,-0.6088928701,,-0.7753254098,-0.2343914950,0.4501418582,,-3.3926992416,18.9244575500,UMAP
"Venezuela, RB",VEN,1975,,,-0.5097691693,,-0.3662454252,-0.2304347398,-0.0695205586,-0.1635213218,-3.5053603649,18.6404876709,UMAP
World,WLD,1975,,,,,-0.8751952331,0.7628645442,-0.4476291751,,0.9540535808,16.7208042145,UMAP
Zambia,ZMB,1975,,,,,,-0.2345726777,-0.9082113844,,-1.2537947893,19.5767173767,UMAP
Zimbabwe,ZWE,1975,,,,,-0.5758082615,-0.2342537362,-0.8533161416,,-4.3301110268,17.3897151947,UMAP
Africa Eastern and Southern,AFE,1976,,,-0.3104631729,,,-0.2190970714,-0.1529834622,,20.5760345459,3.5987002850,UMAP
Africa Western and Central,AFW,1976,,,-0.8049882637,,,-0.2236674363,0.8232334165,,21.0075893402,3.3829462528,UMAP
Algeria,DZA,1976,,,0.1929757547,,-0.1237570646,-0.2320448707,0.8219233676,,19.6651515961,2.6010127068,UMAP
American Samoa,ASM,1976,,,,,,,,1.9348528203,18.2246170044,5.0554547310,UMAP
Andorra,AND,1976,,,,,,-0.2349390412,-0.0033536191,,20.7632904053,4.3698263168,UMAP
Antigua and Barbuda,ATG,1976,,,,,,,,2.2147519395,18.1775093079,5.1580715179,UMAP
Arab World,ARB,1976,,,-0.7315396208,,0.0144920087,-0.2002495809,1.7851737045,,19.2810115814,2.7227127552,UMAP
Argentina,ARG,1976,,,-0.7677241380,,-1.2074445924,-0.2265146185,-0.8674461567,-0.5998857871,19.1052608490,2.6799697876,UMAP
Australia,AUS,1976,,0.0178523745,-0.4244635720,,-0.9759344635,-0.2176025299,-0.1194985411,,19.9025707245,2.8296921253,UMAP
Austria,AUT,1976,,-0.0571059530,,,-0.3209383615,-0.2279000719,0.2036013534,-1.0345117486,18.8939685822,3.0548424721,UMAP
