Year,Indicator,alignment
2001,Credit_to_Private_Sector,0.3764728620
2001,Debt,0.1953434743
2001,Trade,0.1406645325
2001,GDP,0.5738145083
2001,GDP_Growth,0.7450619223
2001,Unemployment,0.0398148862
2002,Inflation,0.5396451044
2002,Credit_to_Private_Sector,0.5243288685
2002,Debt,0.0868125235
2002,Trade,0.1077944144
2002,GDP,0.1957984504
2002,GDP_Growth,0.6304893000
2002,Unemployment,0.1190839026
2003,Inflation,0.3817655087
2003,Credit_to_Private_Sector,0.5797946659
2003,Debt,0.1296561110
2003,Trade,0.0838233272
2003,GDP,0.2749903576
2003,GDP_Growth,0.6088690614
2003,Unemployment,0.3427047262
2004,Inflation,0.3757973885
2004,Credit_to_Private_Sector,0.4135734533
2004,Debt,0.1979525743
2004,Trade,0.1384152427
2004,GDP,0.1157535767
2004,GDP_Growth,0.6405135410
2004,Unemployment,0.2471171745
2005,NPLs,0.2664437257
2005,Inflation,0.4818280058
2005,Credit_to_Private_Sector,0.5058289049
2005,Debt,0.4313669529
2005,Trade,0.2308351002
2005,GDP,0.6631858642
2005,GDP_Growth,0.6366355226
2005,Unemployment,0.2803762704
2006,NPLs,0.2260695115
2006,Inflation,0.2839654616
2006,Credit_to_Private_Sector,0.2974657493
2006,Debt,0.3295799259
2006,Trade,0.2402776903
2006,GDP,0.5618398637
2006,GDP_Growth,0.5172802625
2006,Unemployment,0.0905574147
2007,NPLs,0.3258464619
2007,Inflation,0.2967741367
2007,Credit_to_Private_Sector,0.1510131246
2007,Debt,0.1833921129
2007,Trade,0.4763343327
2007,GDP,0.4401076491
2007,GDP_Growth,0.5424353471
2007,Unemployment,0.1193834198
2008,NPLs,0.2693179190
2008,Inflation,0.3256804575
2008,Credit_to_Private_Sector,0.4744403896
2008,Debt,0.3514542677
2008,Trade,0.2243605192
2008,GDP,0.2590338924
2008,GDP_Growth,0.6185512596
2008,Unemployment,0.1637768799
2009,NPLs,0.4063806969
2009,Inflation,0.2743387319
2009,Credit_to_Private_Sector,0.6038647966
2009,Debt,0.2575136383
2009,Trade,0.1699051643
2009,GDP,0.3161851233
2009,GDP_Growth,0.6443357277
2009,Unemployment,0.1218527325
2010,NPLs,0.2482356906
2010,Inflation,0.3853166725
2010,Credit_to_Private_Sector,0.6750753980
2010,Debt,0.2652104930
2010,Trade,0.3993415117
2010,GDP,0.5765026979
2010,GDP_Growth,0.6709905502
2010,Unemployment,0.1993036042
2011,NPLs,0.0607123189
2011,Inflation,0.2619962731
2011,Credit_to_Private_Sector,0.5930953211
2011,Debt,0.3721775842
2011,Trade,0.1977280300
2011,GDP,0.5876083082
2011,GDP_Growth,0.6050661473
2011,Unemployment,0.1048019363
2012,NPLs,0.2326681588
2012,Inflation,0.2854499531
2012,Credit_to_Private_Sector,0.5498282373
2012,Debt,0.2448515631
2012,Trade,0.5723895034
2012,GDP,0.5737529634
2012,GDP_Growth,0.6527497442
2012,Unemployment,0.2710054948
2013,NPLs,0.1858241579
2013,Inflation,0.3473913446
2013,Credit_to_Private_Sector,0.5522296699
2013,Debt,0.3649729446
2013,Trade,0.3732653962
2013,GDP,0.4178474883
2013,GDP_Growth,0.9005938056
2013,Unemployment,0.4504912190
2014,NPLs,0.1584381356
2014,Inflation,0.1661724416
2014,Credit_to_Private_Sector,0.6514415267
2014,Debt,0.2368919736
2014,Trade,0.1533407139
2014,GDP,0.4920338940
2014,GDP_Growth,0.5666105633
2014,Unemployment,0.4380577180
2015,NPLs,0.0322280360
2015,Inflation,0.1488410422
2015,Credit_to_Private_Sector,0.4607989307
2015,Debt,0.1390995419
2015,Trade,0.3678062120
2015,GDP,0.5320677887
2015,GDP_Growth,0.6940064746
2015,Unemployment,0.2313610267
2016,NPLs,0.1826854730
2016,Inflation,0.1602370710
2016,Credit_to_Private_Sector,0.1387872249
2016,Debt,0.1967840460
2016,Trade,0.5184844430
2016,GDP,0.4804262568
2016,GDP_Growth,1.0071047908
2016,Unemployment,0.1821546524
2017,NPLs,0.1432761622
2017,Inflation,0.0511932068
